,text,length,date,type,index in posts
17," Сегодня вам стоит уделить повышенное внимание своей внешности. Вам предстоит произвести впечатление, так пусть оно будет приятным во всех отношениях.",150,6 декабря,simple,5
18," Плодотворному дню могут помешать напряженные отношения с вашим подчиненным, так что вам придется проявить чудеса дипломатии, чтобы урегулировать сложившуюся ситуацию. Вам как человеку более опытному это не должно составить особого труда. Только продумайте все хорошенько.",272,5 декабря,business,6
19,"Сегодня ваш день будет похож на длинный, добрый и радостный праздник. Праздник для вас и вашего любимого человека, который будет длиться, длиться и длиться, пока вам самим это не надоест. Хочется верить, что вы сможете продлить его на неопределенный срок и запомнить надолго.",275,5 декабря,love,6
20," Привычные глазу лица и предметы вряд ли смогут разбудить ваше воображение сегодня. Вам требуется что-то новое. Инстинктивно ища это что-то, вы можете повести себя так, что многие удивятся.",189,5 декабря,simple,6
21," В этот день вам вновь предстоит выполнить ряд очень важных поручений. Сейчас вам необходимо заручиться поддержкой высокопоставленного благодетеля, и, скорее всего, именно на вас возложат большую часть ответственности в этом деле.",230,4 декабря,business,7
22,"Сегодня вам без труда удастся нечто такое, что вам никогда просто не давалось. Например, познакомиться на улице, признаться любимому человеку в этом большом и светлом чувстве или расстаться с ним на веки вечные - как получится. Главное потом обо всем этом не жалеть.",266,4 декабря,love,7
23," Вам нужен кто-то, кто вдохновил бы вас на великие дела. В крайнем случае это может оказаться книжный или киношный персонаж, хотя это и маловероятно.",149,4 декабря,simple,7
24," Не торопитесь в тот день принимать важные и ответственные решения. Они, скорее всего, окажутся ошибочными и приедут к неприятным следствиям для вас, ваших коллег и сотрудников. Может быть, стоит расслабиться, отдохнуть и в подобном состоянии взвесить все за и против?",268,3 декабря,business,8
25,"Сегодня постарайтесь тщательно рассчитать свое свободное время, желательно с точностью до минуты или даже до секунды, иначе проблем в личной жизни вам не миновать. Правда, они могут оказаться не такими и страшными, как вы могли себе представить, однако все равно приятного в них будет мало.",290,3 декабря,love,8
26," Сегодня вы вновь получите возможность приняться за когда-то отложенное дело. И, что самое интересное, оно пойдет.",114,3 декабря,simple,8
27," Сегодняшний день для вас характеризуется максимумом делового общения, удачным проведением совещаний, конференций и публичных выступлений. Так что если решите приятно удивить коллег новыми интересными проектами и идеями, не тяните – начинайте прямо сегодня. Звезды обещают удачу.",279,2 декабря,business,9
28,"Сегодня вашему любимому человеку будет непросто доказать себе необходимость того или иного действия. Ему было бы гораздо проще, если бы к его аргументам прибавились еще и ваши. Только они должны быть действительно убедительными и несокрушимыми, иначе грош им цена.",264,2 декабря,love,9
29," Сегодня вам, возможно, придется от чего-то отказаться и откуда-то уйти. Расставание будет не слишком легким, но оно необходимо. Найдите в себе силы не показать своего огорчения по этому поводу.",194,2 декабря,simple,9
30," Не спешите сегодня принимать важные решения. Если такая необходимость возникнет, сомневаться вам будет некогда. И они примутся сами собой, без особых ментальных усилий с вашей стороны. Если же сомнения все же имеют место быть, лучше всего еще немного подождать.",262,1 декабря,business,10
31,"Даже если вас съели, у вас все равно остается целых два выхода. А сейчас ситуация в вашем тандеме, согласитесь, вовсе не настолько безвыходная. Звезды видят как минимум пять способов ее разрешить: какие-то лучше, какие-то хуже. посоревнуйтесь с ними, найдите больше! Одно из решений вам обязательно подойдет!",308,1 декабря,love,10
32, Сегодня венцом творения вам будет казаться удобное кресло. Никогда еще вы не ценили комфорт так как нынче. Не ходите в мебельный магазин - разоритесь.,151,1 декабря,simple,10
33," Сегодня вам могут предложить нечто совершенно новое. Подумайте над этим предложением очень серьезно: возможно, это станет вашей новой постоянной работой. Если, конечно, вы не считаете, что ваше нынешнее место вас совершенно устраивает.",236,30 ноября,business,11
34,"В этот день вас будет очень легко задеть за живое, ранить или обидеть. Конечно, ваши родные, любимые и близкие это заметят и будут активно щадить ваши чувства, однако и вам следует за собой последить. Если вы заранее будете знать, что причинит вам боль, лучше этого по возможности избежать.",290,30 ноября,love,11
35," Какова бы ни была ваша цель, сегодня вы ее не достигнете. Зато получите массу промежуточных результатов, каждый из которых будет весьма и весьма небесполезен.",159,30 ноября,simple,11
36," Ваша профессиональная активность будет сегодня несколько ниже, чем обычно, и дело тут вовсе не в отсутствии желания работать, а в элементарной усталости. Лучше бы взять выходной.",179,29 ноября,business,12
37,"У страха глаза велики. Как известно, глаза боятся, а руки делают. Поэтому чем стоять в растерянности над новой проблемой, возникшей между вами и вашим любимым человеком, начните хоть что-нибудь делать. Самое трудное - это первый шаг, а дальше все пойдет само собой.",265,29 ноября,love,12
38," Вам все будет удаваться сегодня. Ваша логика бесспорна, выбор момента прочти совершенен. Если не будете лениться, добьетесь многого.",133,29 ноября,simple,12
39," Сегодня вам будет непросто убедить кого-то в том, что любая его попытка вам помочь – это угроза вам помешать. Если вам действительно не нужно содействие – сделайте все возможное для того, чтобы оно и не было оказано, иначе результаты могут оказаться весьма плачевными.",269,28 ноября,business,13
40,"Сегодня ваш любимы человек будет отвлекать вас от работы, причем довольно-таки серьезно. Из-за него вы можете не успеть закончить какой-то проект или сделать то или иное свое действие некачественно. Расставьте приоритеты: что для вас важнее на данный момент.",258,28 ноября,love,13
41," Сегодня вы сможете без особых потерь перенести любую бурю. Однако, не стоит забывать, что вы также свободны подняться и уйти, чтобы в ней не участвовать.",154,28 ноября,simple,13
42," Сегодня ваши коллеги станут вашими единомышленниками, поэтому звезды рекомендуют вам собраться в какой-нибудь неофициальной обстановке за кружечкой пива или чашечкой чаю и поговорить на какую-нибудь приятную для всех тему, но ни в коем случае не о работе.",256,27 ноября,business,14
43,"Сегодня ваш любимый человек покажется вам нелогичным и непоследовательным, однако это лишь прибавит его образу неповторимого очарования, которое вас так в нем привлекает. Постарайтесь не объяснять для себя его поведение и мотивы его поступков, для блага ваших отношений.",270,27 ноября,love,14
44," Вслушивайтесь в болтовню окружающих. Велика вероятность того, что кто-то, сам того не замечая, скажет нечто воистину гениальное.",129,27 ноября,simple,14
45," Сегодня ожидается достаточно размеренный день, который не предвещает ничего неприятного. В этот день вы сможете очень хорошо потрудиться на перспективу, ваши действия будут продуманны и верны, а кроме этого, вам удастся разобраться-таки со своими приоритетами.",261,26 ноября,business,15
46,"Сегодня постарайтесь не поддаться приступам черной меланхолии и не дать разочарованию завоевать ваше сердце. Увы, с этими коварными врагами придется справляться в одиночку, ибо вашему любимому человеку будет не до помощи вам. У него и своих проблем будет предостаточно, в том числе и душевных.",293,26 ноября,love,15
47," Сегодня мысли ваши будут возвышенны, а планы - далекоидущи. Постарайтесь не придать забвению ни тех, ни других, ибо они представляют собой немалую ценность, и вполне могут пригодиться вам в будущем.",199,26 ноября,simple,15
48," Посоветуйтесь сегодня с человеком, который является для вас авторитетом, касательно тех трудовых вопросов, которые вас давно волновали. Скорее всего, вам дадут необходимый совет, который значительно облегчит вашу судьбу и упростит жизнь в коллективе в будущем.",261,25 ноября,business,16
49,"Сегодня вашему любимому человеку будет очень грустно и одиноко, и только вам будет хоть в какой-то мере под силу вылечить его от его дурного настроения и избавить от неприятных предчувствий. Для вашей половинки вы лучший лекарь души, о чём сами прекрасно знаете.",262,25 ноября,love,16
50," Сегодня очень многое будет зависеть от того, с кем вы проведете этот день. Выбирайте сами.",91,25 ноября,simple,16
51," В этот день звезды не рекомендуют вам даже пытаться предсказать события, которые произойдут с вами в ближайшее время. В любом случае, мысли и размышления ничего не изменят ни к лучшему, ни к худшему, а вот утреннее настроение вы себе испортить можете. И, соответственно, весь оставшийся день.",293,24 ноября,business,17
52,"В этот день вам стоит забыть об объективности и судить о вашем любимом человеке исключительно с субъективной точки зрения. В конце концов, быть с ним именно вам и никому кроме вас, а значит, при личном контакте никакие объективные нормы и принципы вам не помогут.",263,24 ноября,love,17
53," Сегодня вы будете как никогда более собраны и аккуратны. Ничто так не дисциплинирует, как сознание того, что вы предоставлены сами себе, и ни перед кем не надо отчитываться.",174,24 ноября,simple,17
54," Сегодня не стоит рассчитывать на поддержку и советы друзей. Даже если на первый взгляд они будут казаться очень разумными, вряд ли результаты их применения будут столь же хороши.",179,23 ноября,business,18
55,"Сегодня вашему любимому человеку захочется совершить некий подвиг во имя вашей любви. Впрочем, подвиг в итоге может так и остаться не совершенным в силу нерешительности и стеснительности главного героя. В ваших силах поддержать его начинания и желания.",252,23 ноября,love,18
56, Сегодня вы сможете черпать силу от звуков собственного голоса. Вы будете удачливы во всех видах устных переговоров.,116,23 ноября,simple,18
57," Сегодня вы явно настроены на воинственный лад, однако стоит унять свой пыл там, где вежливое обращение сделает больше, чем нахальство и дерзость. А если вы сегодня так и не добьетесь того, на что рассчитывали, это будет для вас хорошим уроком на будущее.",255,22 ноября,business,19
58,"Сегодня вас захлестнет волна романтизма, и вы захотите, чтобы в ваших отношениях с вашим же любимым человеком все было как в романе: огромные букеты цветов, страстные признания, красивые пейзажи и томные взгляды... Только выберите роман со счастливым концом, другого вам не нужно.",280,22 ноября,love,19
59," Сегодня не стоит опираться на личные связи, они могут подвести. Постарайтесь не оглашать свои планы - сглазят непременно.",122,22 ноября,simple,19
60," Как насчет того, чтобы внести разнообразие в вашу личную жизнь? Не слишком ли она стала предсказуемой? Это ведь и на качество вашей работы влияет не лучшим образом: у вас нет вдохновения, изюминки, искры, а это непорядок. Постарайтесь найти новую любовь во имя карьеры.",270,21 ноября,business,20
61,"Для того чтобы решить ваши проблемы, совсем не обязательно посвящать в них родственников. Поговорите лучше с друзьями, они будут менее склонны во всем винить вас же.",165,21 ноября,love,20
62," Сегодняшний день лучше провести с семьей. Это доставит удовольствие и вам и остальным ее членам. И вообще, вспоминайте о них почаще.",133,21 ноября,simple,20
63,"Сегодня вы впервые за довольно долгое время увидите в вашем партнере человека. Иными словами, вам будет куда труднее применять все ваши коммуникативные и иного рода хитрости, потому что вы будете точно знать, что партнеру как личности такие ваши действия приятны не будут.",272,20 ноября,business,21
64,"В этот день вашему любимому человеку захочется провести с вами максимально возможное количество времени, однако его и ваше понятия максимума будут несколько расходиться. Постарайтесь как-то скоординировать ваши представления и свести их к среднему арифметическому.",264,20 ноября,love,21
65," Вы склонны тратить непозволительно много душевных и физических сил на то, что скорее всего является лишь иллюзией. Взгляните на вещи здраво, сегодня это должно получиться.",172,20 ноября,simple,21
66," Все знакомства, которые вы сумеете завязать сегодня, очень пригодятся вам в будущем. Поэтому не робейте, проявите некоторое упорство и старание, чтобы понравиться заинтересовавшему вас человеку. Ваши усилия будут не напрасны, а помимо деловых партнеров вы сможете найти и хорошего нового друга.",295,19 ноября,business,22
67,"Постарайтесь сегодня целый день быть мысленно рядом с вашим любимым человеком, поддерживать его во всех его начинаниях, быть с ним терпеливым и терпимым. В конце концов, у каждого бывают минуты слабости: у него такая минута продлится весь сегодняшний день.",256,19 ноября,love,22
68, Сегодня терпение будет не просто достоинством. Оно будет необходимо вам как воздух. Слишком уж много подводных камней будет ожидать вашу чересчур эмоциональную натуру.,168,19 ноября,simple,22
69," Вы стали чересчур много засиживаться в офисе допоздна? Думаете, что таким образом вы сможете надеяться на похвалу начальства? Скорее сейчас вы слишком переутомитесь и не сделаете ничего того, что смогли бы с ясной головой сделать и днем. Кроме того, платить за рвение вам больше не станут.",290,18 ноября,business,23
70,"Сегодня вашему любимому человеку будет холодно, грустно и одиноко, и только в ваших силах будет пресечь это безобразие, приласкав, обняв и утешив вашу половинку. Если вы сделаете это правильно, то есть так, чтобы оно подействовало, вы даже удивитесь, какой лаской и нежностью вам ответят.",288,18 ноября,love,23
71, Сегодня у вас появятся большие проблемы при общении с окружающими. Постарайтесь не опуститься до оскорблений и рукоприкладства. Злиться вредно.,144,18 ноября,simple,23
72," Вряд ли вам будут доплачивать за то, что вы работаете в выходные, поэтому не стоит совершать подвиг такого рода за просто так. Возможно, уже завтра он станет необходимостью, а в этот день вы со спокойной совестью можете отдохнуть и забыть обо всех трудовых обязанностях.",271,17 ноября,business,24
73,"Сегодня вас может посетить ностальгия. Вы вспомните ваши отношения с вашим некогда любимым человеком очень захотите, чтобы все вернулось, даже если сейчас в вашей личной жизни все хорошо. Включите грустную музыку, повспоминайте, а потом выкиньте это из головы. Жить все же стоит днем настоящим, время от времени заглядывая в будущее.",333,17 ноября,love,24
74," Сегодня не стоит быть торопливым в оценке происходящего. То, что вы склонны будете воспринять как личное оскорбление, будет скорее всего просто не очень удачно сформулированной, но тем ни менее невинной шуткой.",211,17 ноября,simple,24
75," Сегодня разного рода посторонние мысли будут отвлекать вас от трудового процесса. Постарайтесь сделать все возможное для того, чтобы отвлекали они вас не сильно и все ваши задания были выполнены быстро, правильно и в срок. Благо это окажется не самой трудной задачей.",268,16 ноября,business,25
76,"Овнам сегодня нужно быть осторожными с их вторыми половинами. Очень вероятно, что он устроит маленький междусобойчик со своими друзьями, рассчитывая на ваше отсутствие в течение дня. Тем не менее, звёзды не советуют волноваться по этому поводу. Друзья не в курсе ваших главных семейных дел, поэтому вероятность ненужных сплетен исключается.",340,16 ноября,love,25
77," Сегодня вы можете позволить себе действовать без промедления, по первому движению души. Будете колебаться - только упустите подходящий момент.",143,16 ноября,simple,25
78," Если у вас есть хоть какая-то возможность проверить, верен ли тот важный шаг, который вы собираетесь предпринять, не упускайте её, больше такого шанса вам не представится. Подумайте и взвесьте все за и против ещё раз, чтобы потом не пожалеть о содеянном.",255,15 ноября,business,26
79,"Сегодня вам будет довольно трудно совладать с некоторыми факторами, которые будут препятствовать вашей счастливой личной жизни. Однако если вам всё же это удастся, вы поймёте, что заслуживаете своего счастья в полной мере, на все сто и даже двести процентов.",258,15 ноября,love,26
80," Сегодня вам вряд ли удастся провести хоть пару минут в мечтаниях. Расслабиться вам не дадут. Не ставьте перед собой масштабных целей, за вас это сделают другие.",161,15 ноября,simple,26
81," Не стоит сегодня смешивать домашние дела с рабочими. Хотя соблазн велик. Будь то конфликт или наоборот что-то приятное – забудьте о них. Помните о том, что нет ничего опасней для сохранения домашнего очага и поддержания благоприятной обстановки на работе, чем пытаться совместить личное и общественное.",303,14 ноября,business,27
82,"Сегодня вы будете склонны к тому, чтобы совершать нелогичные поступки, причём стараться объяснять их с помощью логики. Увы, вашему любимому человеку, равно как и другим окружающим вас людям, эта логика будет непонятна, поэтому даже не старайтесь. Просто действуйте.",265,14 ноября,love,27
83," Сегодня можете позволить себе расслабиться, изгнать ощущение недоверия к кому бы то ни было и вообще отказаться от неприятных мыслей. Завтра наверстаете.",154,14 ноября,simple,27
84," Сегодня мир вертится вокруг вас. От вашей инициативы и рабочего настроя будет зависеть успех начатого дела. Но не зазнавайтесь! Будьте внимательны к окружающим, поддержка знакомых будет для вас очень кстати. Сформулируйте точно свою цель и двигайтесь вперед, а ситуация обязательно сложится в вашу пользу.",306,13 ноября,business,28
85,"Сегодня вашему любимому человеку захочется признаться вам в чем-то важном, серьёзном и глубоком, что он осознал совсем недавно и что не даёт ему уснуть. Постарайтесь выслушать его внимательно и оценить всё им сказанное по достоинству, иначе на ваших отношениях можно будет поставить крест.",289,13 ноября,love,28
86," Не жалейте денег сегодня. Побалуйте себя небольшим, но приятным подарком, деликатесным ужином. С финансовой точки зрения намечаются перемены к лучшему.",152,13 ноября,simple,28
87," Сегодня вам предстоит очень долго удивляться тому, как изменилось направление деятельности вашей фирмы. Возможно, вплоть до политики, устава и философии компании. Однако весьма вероятен тот факт, что все это ненадолго и что масштабность событий вам не более чем показалась.",274,12 ноября,business,29
88,"Сегодня вашему любимому человеку будет довольно трудно смириться с тем, что закончился какой-то очередной этап ваших с ним отношений. Постарайтесь его убедить в том, что скоро начнется следующий, и он будет куда лучше, ярче, теплее и интереснее предыдущего.",257,12 ноября,love,29
89," Ваше мнение сегодня никого интересовать не будет, поэтому лучше оставить его при себе. Время его высказать еще придет.",119,12 ноября,simple,29
90," Сегодняшний день научит ваш критичнее относиться к проделанной вами работе. Последнее время вы привыкли, что всё, что вы делаете, одобряется шефом, но вот теперь вас вновь вернут с небес на землю и заставят дорабатывать ваш труд, представленный на суд начальства.",264,11 ноября,business,30
91,"В этот день вам будет нелегко принять ответственное решение, касающееся вашей личной жизни, а значит, и судьбы вашего любимого человека. Но сделать это будет необходимо. Или хотя бы настроиться на неизбежность подобного действия в ближайшие несколько дней.",256,11 ноября,love,30
92," Сегодня вы, возможно, будете испытывать жгучее желание побыть наедине с самим собой, и, естественно, границы вашей территории будут постоянно нарушать. Не стоит отстреливать нарушителей, достаточно повесить на дверь замок и отключить телефон.",243,11 ноября,simple,30
93," Сегодня ваши коллеги захотят встретиться с вами в неформальной обстановке, чтобы обсудить какие-то рабочие вопросы. На встречу можете и согласиться, а от разговоров на тему профессиональной деятельности решительно отказывайтесь, ибо в выходной день эта тема не является наилучшей.",281,10 ноября,business,31
94,"Сегодня ваш любимый человек будет очень сложно реагировать на любую вашу попытку его обмануть, перехитрить или хотя бы разыграть. Постарайтесь принять во внимание эту его странную особенность и действовать в соответствии со сделанными выводами и расставленными приоритетами.",274,10 ноября,love,31
95," Сегодня вам позволительно быть авангардным, всячески демонстрировать свое пренебрежение общественными устоями и нормами морали. Некоторые, правда, будут немало удивлены подобным демаршем, зато вы оттянетесь.",208,10 ноября,simple,31
96," Постарайтесь в вечной погоне за прибылью не потерять человеческого лица, умейте вовремя остановиться и задуматься, а стоит ли ваша цель таких титанических усилий? Возможно, вы не там ищете счастье, и ваша работа стала забирать у вас слишком много душевных сил.",261,9 ноября,business,32
97,"Не стоит сегодня переступать некоторую черту в отношениях с вашим любимым человеком. Какую – вы знаете лучше, чем звезды. Да и ваша половинка прекрасно ее видит. Время для подобного развития отношений еще не пришло, потерпите немного. Ждать действительно недолго осталось.",272,9 ноября,love,32
98," Постоянство - опасная иллюзия. Будьте готовы к переменам, они вполне могут произойти сегодня.",94,9 ноября,simple,32
