,text,length,date
10,"Гороскоп на 1 декабря 2019 года
 Сегодня вам будет довольно сложно справиться с собственным языком. Не то, чтобы он заплетался - напротив, его придется старательно держать в узде, а то он такого наговорит...

Бизнес-гороскоп на 1 декабря 2019 года 
 Сегодня вы будете расположены для очень важного разговора на тему, которая будоражит вас в последнее время. Будьте искренни, и итог этой беседы порадует вас. А когда все волнующие проблемы будут решены, просто наслаждайтесь чудесным днём, когда можно воспользоваться своей независимостью и отправиться куда угодно.

Любовный гороскоп на 1 декабря 2019 года
Если сегодня вы твердо решили назначить свидание, то лучше назначить его на 7 часов вечера. Во-первых, число счастливое. Во-вторых, как раз после работы успеете, если у вас, конечно, день рабочий. А в-третьих, где-то в 19.15 звезды обещают всем Стрельцам потрясающую удачу!",882,1 декабря
11,"Гороскоп на 30 ноября 2019 года 
 Сегодняшний день удивит вас. Будьте открыты для всех видов общения, не позволяйте себе залезать в бутылку, как бы вам этого ни хотелось.

Бизнес-гороскоп на 30 ноября 2019 года 
 Если сегодня у вас начнется разлад в личной жизни, это верный признак того, что с карьерой у вас все в порядке и вы весьма продуктивно выстраиваете свою линию профессионального поведения. Однако стоит ли игра свеч, а головокружительная карьера – головокружительного романа?

Любовный гороскоп на 30 ноября 2019 года
Стрельцы, если сегодня вам так хочется испытывать терпение супруга или супруги, мы, конечно, не сможем вам это запретить. Однако учтите - недосоленный суп или недоглаженная рубашка могут основательно подпортить настроение, и тогда уж не обижайтесь. Выяснения отношений вам вечером, должно быть, не избежать.",837,30 ноября
12,"Гороскоп на 29 ноября 2019 года 
 Сегодня всякие поиски чего бы то ни было превратятся для вас в изысканное удовольствие. Это, правда, не означает, что все они будут удачны.

Бизнес-гороскоп на 29 ноября 2019 года 
 Сегодня не стоит слишком усердствовать. Вы уже набрали нужный темп, поэтому можно включить автопилот. А пока всё будет идти своим ходом, постарайтесь обратить свой взор на дела амурные. Не слишком ли много времени у вас уходит на работу?

Любовный гороскоп на 29 ноября 2019 года
Всякая физическая активность будет вас нынче раздражать — горе тому, кто выразит настойчивое пожелание, чтобы вы вынесли ведро, полили цветы или приготовили ужин. День подходит исключительно для мечтаний о прекрасном принце на белом коне (ну или о наследнице королевской крови с золотыми косами и приданым).",804,29 ноября
13,"Гороскоп на 28 ноября 2019 года 
 Сегодня к вам будут обращаться как к дельфийскому оракулу. Придется поддерживать реноме, хотя вам, возможно, далеко не всегда будет понятно, почему люди так жаждут именно вашего совета.

Бизнес-гороскоп на 28 ноября 2019 года 
 В скором времени намечается увеличение оклада, поэтому не вздумайте уже начать почивать на лаврах, а скорее наоборот, следует прибавить темп и ещё больше удивить начальника точностью и безукоризненностью выполнения порученных вам дел. Благо дела не сложными окажутся.

Любовный гороскоп на 28 ноября 2019 года
В этот день ваш любимый человек проявит по отношению к вам удивительные заботу и нежность. Его желание помочь вам в решении ваших проблем будет настолько велико, что даже если проблем в вашей жизни не будет, вы их с удовольствием выдумаете, только чтобы сделать ему приятное.",848,28 ноября
14,"Гороскоп на 27 ноября 2019 года 
 Сегодня вам стоит пересмотреть и, возможно, переосмыслить то, что вы делали в последнее время. Может быть, вам захочется что-то изменить.

Бизнес-гороскоп на 27 ноября 2019 года 
 Вы снова докажете всем, кто тут главный. Так или иначе, желаете вы этого или нет. Если главным все-таки являетесь не вы, это повод задуматься над своим образом действий.

Любовный гороскоп на 27 ноября 2019 года
Сегодня ваши отношения в семье развиваются на редкость спокойно и стабильно. Радуйтесь, не каждому доступно такое! Все разногласия, очевидно, остались позади, и сегодня вам не надо будет выяснять, почему вы постоянно находите грязные носки под кроватью. Сегодня их там не окажется - они будут там, где им и положено быть - в корзине с грязным бельём.",777,27 ноября
15,"Гороскоп на 26 ноября 2019 года 
 Чем бы вы ни занимались сегодня, вам будет сопутствовать удача. Секрет кроется в вашем воображении, чем более разноцветны ваши мечты, тем лучше вы будете себя чувствовать в реальном мире.

Бизнес-гороскоп на 26 ноября 2019 года
Сегодня вас неожиданно посвятит вдохновение, которое не будет покидать вас на протяжении всего дня. Это наверняка заставит вас изменить планы — это не повод расстраиваться. Считайте, что вам крупно повезло.

Любовный гороскоп на 26 ноября 2019 года
В этот день вашему любимому человеку будет довольно трудно понять, почему вы поступаете именно таким образом. Зачастую ваше поведение будет противоречить его логике, что будет вызывать в его душе неприятие и неодобрение. Постарайтесь доходчиво объяснить ему все мотивы вашего поведения.",798,26 ноября
16,"Гороскоп на 25 ноября 2019 года 
 Сегодня все вами сказанное будет иметь весьма далеко идущие последствия. Относитесь к своим словам серьезнее.

Бизнес-гороскоп на 25 ноября 2019 года 
 Сегодня придётся много трудиться, да что там — выкладываться без остатка. Хорошо бы дома вас ждал теплый прием и горячий ужин, в противном случае чувства удовлетворения проделанной работой вам не видать, как собственных ушей.

Любовный гороскоп на 25 ноября 2019 года
Сегодня вашему любимому человеку не потребуется много усилий для того, чтобы понять вас и ваши пристрастия. Он справится с этим несложным заданием даже быстрее, чем вы, чем несказанно вас удивит. Постарайтесь однако сделать все возможное для того, чтобы не открываться ему сразу.",734,25 ноября
17,"Гороскоп на 24 ноября 2019 года 
 Сегодня не стоит связывать себя какими-либо условностями. Это не слишком хорошо у вас выйдет, да и удовольствия не доставит. Зато в качестве свободного художника вы вполне можете создать что-то, заслуживающее существования.

Бизнес-гороскоп на 24 ноября 2019 года 
 Сегодня вы будете суровы к подчиненным. Вам вряд ли будет интересно, из-за чего они не справляются с работой, и чем вызвана такая вялость их движений и мыслей. Раз сами виноваты – пусть работают в свой выходной!

Любовный гороскоп на 24 ноября 2019 года
Сегодня между вами встанет третий лишний. Возможно, это будет будущий или потенциальный поклонник вашей половинки. А может, и призрак из вашего прошлого или настоящего. Будьте с ним решительны, и если он мешает вам, без всякого стеснения гоните его поганой метлой. Пусть возвращается туда, откуда пришел.",859,24 ноября
18,"Гороскоп на 23 ноября 2019 года 
 Сегодня очень важна будет ваша профессиональная активность, однако постарайтесь не слишком перенапрягаться, в противном случае у вас могут возникнуть проблемы со здоровьем.

Бизнес-гороскоп на 23 ноября 2019 года 
 Успешной сегодня будет лишь та работа, за которую вы приметесь в команде единомышленников. Звёзды не советуют вам отказываться от помощи тех коллег, с которыми вы находитесь в хороших отношениях, но в то же время, следует остерегаться недоброжелателей. Умейте различать истинные лица под масками.

Любовный гороскоп на 23 ноября 2019 года
Сегодня ваша половинка будет вести себя довольно-таки непредсказуемо, и вам останется только гадать, что она выкинет в следующий момент. Придется вам быть на всякий случай готовым к любого рода неожиданностям и придумать, как на них реагировать, чтобы не растеряться в ответственный момент.",879,23 ноября
19,"Гороскоп на 22 ноября 2019 года 
 Сегодня размер ваших амбиций ни за что не позволит вам поставить перед собой мелкую цель. Объект ваших мечтаний нынче будет как минимум труднодостижим, а скорее всего просто нереален.

Бизнес-гороскоп на 22 ноября 2019 года 
 Возможно, вы избрали неправильную тактику. Сегодня самый удачный день, чтобы ее поменять. Осталось придумать, на что именно.

Любовный гороскоп на 22 ноября 2019 года
Сегодня вашему любимому человеку будет довольно трудно смириться с вашим поведением, ибо что-то ему в нём нравиться определённо не будет. Возможно, он даже сам для себя не сможет сформулировать, что именно, но негативная реакция в некоторые моменты будет более чем очевидна.",702,22 ноября
20,"Гороскоп на 21 ноября 2019 года 
 Самая большая ваша проблема - нежелание принимать решения. Если очень хочется - можете пооткладывать это неприятное занятие еще пару дней.

Бизнес-гороскоп на 21 ноября 2019 года 
 Вам нужна помощь? Поищите ее в непосредственной близости от себя — возможно, вам окажутся полезны друзья, знакомые друзей или даже ваши собственные родственники.

Любовный гороскоп на 21 ноября 2019 года
Сегодня вашему любимому человеку придется раз за разом повторять вам что-то очень важное, чтобы вы это что-то запомнили. Впрочем, если вы не приложите к этому усилий, все его старания пойдут насмарку, что станет причиной довольно серьезной ссоры. Постарайтесь быть внимательным хотя бы во имя ее избежания.",726,21 ноября
21,"Гороскоп на 20 ноября 2019 года 
 Жалко, конечно, портить такую хорошую крышу, но ее лучше бы прибить гвоздями, на худой конец, привязать. Сегодня опасность ее лишиться приобретет угрожающий характер. (Влюбитесь вы, что ли?)

Бизнес-гороскоп на 20 ноября 2019 года 
 Сегодня чья-то идея может стать воистину звездной для вас. Особенно если вы правильно ею воспользуетесь и с ее помощью принесете неоспоримую пользу вашей фирме. Однако постарайтесь все же не заниматься плагиатом: в противном случае, у вас возникнет много дополнительных проблем.

Любовный гороскоп на 20 ноября 2019 года
Сегодня вас может совершенно неожиданно для вас подвести техника. Именно из-за нее вечерний совместный ужин окажется под угрозой отмены, а взаимопонимание и гармония и вовсе могут рассыпаться в прах. Это можно и должно предотвратить.",822,20 ноября
22,"Гороскоп на 19 ноября 2019 года 
 Окружите себя людьми, которые будут в состоянии привести вас хорошее настроение. Сами вы с этой задачей справиться будете не в состоянии.

Бизнес-гороскоп на 19 ноября 2019 года 
 Сегодня вам стоит вспомнить о том, что в выходной день работать не хочется не только вам – и постараться не терзать ваших партнеров, клиентов и подчиненных внезапно посетившими вас гениальными идеями касательно улучшения трудового процесса. Запишите их в блокнот: расскажете о них завтра.

Любовный гороскоп на 19 ноября 2019 года
Сегодня вы с вашим любимым человеком будете довольно долго дискутировать на какие-то отвлечённые темы, не имеющие по большому счету к вам никакого отношения. Что есть добро и зло? Есть ли жизнь на Марсе? И если кит со слоном подерутся, то кто кого переборет?.. Только не поссорьтесь.",829,19 ноября
23,"Гороскоп на 18 ноября 2019 года 
 Сегодняшний день будет легок и приятен. Рекомендуемые занятия - прогулки, вечеринки, и прочая и прочая. Ответственных решений лучше не принимать, хотя они вряд ли и понадобятся.

Бизнес-гороскоп на 18 ноября 2019 года 
 Сегодня судьба решила вознаградить вас за хорошо выполненную работу. Ждите приятных новостей. Если вдруг окажется, что вы их не дождались, это означает просто, что они слегка задержались в пути. Повод порадоваться своему успеху у вас все равно имеется.

Любовный гороскоп на 18 ноября 2019 года
Сегодня вам стоит быть особенно внимательным к друзьям вашего любимого человека. Попытайтесь стать для них если не другом, то хотя бы более-менее близким, не чужим человеком. Вашей половинке это будет, несомненно, приятно, да и вы почувствуйте себя к ней ближе.",811,18 ноября
24,"Гороскоп на 17 ноября 2019 года 
 Возможно, сегодняшний день вам покажется наихудшим в жизни. Не расстраивайтесь, если это действительно так, то в будущем вас ожидает исключительно безоблачное существование.

Бизнес-гороскоп на 17 ноября 2019 года 
 Видя всё увеличивающуюся стопку документов на вашем столе, не откладывайте всё в дальний ящик и не отлынивайте от дел! Гоните прочь от себя лень, потом проблем меньше не станет, скорее напротив, ещё и прибавятся, и тогда вы точно сгорите на работе, а это вам ни к чему.

Любовный гороскоп на 17 ноября 2019 года
Сегодня вам стоит предусмотреть как можно больше вероятностей развития того или иного события – и предотвратить негативные его последствия до того, как они наступят непосредственно на вас и вашего любимого человека. Вашей половинке решение такой задачи будет не под силу.",834,17 ноября
25,"Гороскоп на 16 ноября 2019 года 
 Перед тем как отвечать на задаваемые вопросы, внимательно их проанализируйте на предмет наличия тайного смысла. В противном случае вы рискуете оказаться в дурацком положении.

Бизнес-гороскоп на 16 ноября 2019 года 
 Сегодня для успешного ведения дел вам необходимо полное согласие и желание взаимодействовать с окружающими вас людьми. Только постарайтесь скорее не руководить ими, а направлять в нужное русло их собственные идеи, результат вашей деятельности превзойдет самые смелые ожидания.

Любовный гороскоп на 16 ноября 2019 года
Сегодня вашему любимому человеку будет непросто поверить в ваши аргументы и доводы, какими бы убедительными и доходчивыми они ни были. Придется сделать их еще более убедительными и доходчивыми, или же просто начать доказывать их верность на деле.",817,16 ноября
26,"Гороскоп на 15 ноября 2019 года 
 Остерегайтесь гениальных идей, особенно чужих. Со своими еще можно как-то разобраться, а остальные сегодня будут особенно сумасшедшими.

Бизнес-гороскоп на 15 ноября 2019 года 
 Сегодня не жалейте времени для того, чтобы поработать над своим отчетом, если, конечно, вы вообще должны кому-то отчитываться. Если не можете сделать его достоверным, потрудитесь хотя бы, чтобы он оказался логичным. Как бы вас за руку на несоответствиях не поймали.

Любовный гороскоп на 15 ноября 2019 года
В этот день важно не заходить за некоторую черту в ваших отношениях. Причем обозначить ее лучше заранее и вслух, чтобы потом она просто не смогла никуда подвинуться. Если вы за нее переступите, уже завтра у вас начнутся угрызения совести, а это вовсе не то удовольствие, которое обязательно нужно испытать.",827,15 ноября
27,"Гороскоп на 14 ноября 2019 года 
 Сегодня большая часть тайного может стать явным. Будем надеяться, что это вам только на руку.

Бизнес-гороскоп на 14 ноября 2019 года 
 Самые неприятные новости нынче будут поступать издалека. Если у вас имеются зарубежные партнеры, проверьте, все ли в порядке в ваших отношениях. Возможно, назревающую проблему можно предотвратить.

Любовный гороскоп на 14 ноября 2019 года
Сегодня не будьте слишком строги к вашему любимому человеку. Даже он имеет право на ошибку, причем даже не на одну, как бы вам ни обидно было это признавать. Проявите мудрость и простите его, попросив больше впредь так не делать. Поверьте, он будет очень стараться.",675,14 ноября
28,"Гороскоп на 13 ноября 2019 года 
 Сегодня вы имеете объективную возможность повлиять на то, как сложатся события в ближайшие несколько дней. Опустив же руки и плывя по течению, вы рискуете нарваться на определенные неприятности.

Бизнес-гороскоп на 13 ноября 2019 года 
 Ситуация сегодня едва ли не выйдет из-под контроля и будет грозить вам серьезными неприятностями в будущем, если вы не сумеете признать допущенную ошибку и принять соответствующие меры, чтобы ликвидировать последствия своих необдуманных действий.

Любовный гороскоп на 13 ноября 2019 года
В этот день вам очень захочется пожалеть вашего любимого человека: приласкать, приголубить, объяснить, что все обязательно будет хорошо, и совсем скоро... Однако многие воспринимают жалость как унижение их достоинства. Прежде чем дать волю чувствам, убедитесь, что ваша половинка так не считает.",856,13 ноября
29,"Гороскоп на 12 ноября 2019 года
 Избегайте всего неизведанного и, в особенности, незнакомцев. Сегодня велики шансы быть обиженным.

Бизнес-гороскоп на 12 ноября 2019 года 
 Сегодня ожидайте существенных пополнений в финансовой сфере: ваш шеф порадует вас неожиданной премией в честь удачного проекта, а коллега вернет долг, о котором вы уже неоднократно ему напоминали. Все важные дела постарайтесь сделать в первую половину дня.

Любовный гороскоп на 12 ноября 2019 года
Сегодня вашему любимому человеку не захочется ни в чем вас обвинять, даже если вы действительно будете виноваты и будете заслуживать обиды или наказания. Что ж, пользуйтесь такой добротой со стороны вашей половинки и не повторяйте собственных ошибок.",724,12 ноября
30,"Гороскоп на 11 ноября 2019 года 
 Сегодня у вас есть все шансы склонить на свою сторону даже самого несговорчивого из потенциальных союзников. Случай редкостный, рекомендуется воспользоваться, хотя бы просто так, про запас.

Бизнес-гороскоп на 11 ноября 2019 года 
 Сегодняшний день приготовил для вас непредвиденные трудности как в отношениях с людьми, так и в понимании вашей точки зрения по освещаемому вами вопросу. Наберитесь терпения, и постарайтесь не повышать голос ни при каких обстоятельствах – вряд ли вам это поможет.

Любовный гороскоп на 11 ноября 2019 года
Сегодня вашему любимому человеку будет непросто простить себе какой-то момент из вашей совместной истории. Ему будет казаться, что он тогда очень перед вами провинился – и он снова и снова будет просить у вас прощения. Главное, чтобы это не довело его до нервного срыва. Да и вас тоже.",858,11 ноября
